md5,url,cluster
448031a10988c8e806137ba90a5419c0,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/1783893052271246.mp4,1
4c7ae99b6f2d2ea0ba3708785bb3fa35,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/6/3758925670905926.mp4,2
615b5e38a92f3542675b8f73068620f9,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/3/1444243937337613.mp4,1
1f1d173d44db1f1453853c1ac4b6210e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/6/1137320019278826.mp4,1
f34512019f36f88f77898cb3cfd35795,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/2360515587728333.mp4,1
4da438dcd1ee6acce0270c36d439fdda,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1371927474335533.mp4,1
92c370d59025f02de2430af499069f8b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1357530695629343.mp4,3
0e3277b330ec32977dfc9414f5482b25,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/9/849296404538259.mp4,1
ab22bb86ab7acecb8abd670a484d9052,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/3/1239089498315233.mp4,1
99210dbbf50984d967cb3874e5978893,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/3/2296201954139463.mp4,1
b4bd71a45983cb16a6efb1defc3329b7,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/2/1262412482531362.mp4,1
bb7a2f3371c5459fd606a04db68687e8,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/2264514453993932.mp4,1
49dfddb9cbab23a19c662e786feb19a8,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/03/4/849128514685834.mp4,1
58a18b31e6e77e2ac2a33daf1a07d070,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/842781298515792.mp4,1
d4d47f25b794decb7a94b881b438ce12,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/1935007160734501.mp4,1
fca544cf9593d0c22faf5b0794ea7c9a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/8/1227179875973928.mp4,1
92d49d7103f1d8d34f10952970a557ab,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/2/1191710176433652.mp4,1
67ee7572a0d2f06ccdc3b14982f5b822,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/875247114851183.mp4,1
bc72012e5d166f2f0860ce18e5619b94,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/2028464044360699.mp4,1
48f5b0afeb0d1815a722618eb310a4a2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/9/1567611457513749.mp4,3
952af3a46b5a3e987c5e373e852528c4,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/28/7/1762441604446277.mp4,1
175aa96616ff05af6a71dc2caa4e41e1,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/1418546196665424.mp4,1
6c49d6fa0bc1bb3b5a7ed5081499365d,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/05/9/1383322946572539.mp4,1
